benchmark_id,label,source_id,split
ASB04_000001,1,SRC010,train
ASB04_000002,1,SRC001,train
ASB04_000003,1,SRC010,train
ASB04_000004,1,SRC010,train
ASB04_000005,1,SRC001,train
ASB04_000006,1,SRC010,train
ASB04_000007,1,SRC001,test
ASB04_000008,1,SRC001,test
ASB04_000009,1,SRC001,train
ASB04_000010,1,SRC001,train
ASB04_000011,1,SRC010,train
ASB04_000012,1,SRC010,train
ASB04_000013,1,SRC001,train
ASB04_000014,1,SRC001,train
ASB04_000015,1,SRC001,train
ASB04_000016,1,SRC001,train
ASB04_000017,1,SRC001,test
ASB04_000018,1,SRC009,train
ASB04_000019,1,SRC001,test
ASB04_000020,1,SRC001,train
ASB04_000021,1,SRC001,train
ASB04_000022,1,SRC001,train
ASB04_000023,1,SRC010,test
ASB04_000024,1,SRC001,train
ASB04_000025,1,SRC009,test
ASB04_000026,1,SRC010,validation
ASB04_000027,1,SRC001,train
ASB04_000028,1,SRC001,train
ASB04_000029,1,SRC010,train
ASB04_000030,1,SRC001,train
ASB04_000031,1,SRC012,train
ASB04_000032,1,SRC010,train
ASB04_000033,1,SRC001,test
ASB04_000034,1,SRC002,train
ASB04_000035,1,SRC001,train
ASB04_000036,1,SRC010,train
ASB04_000037,1,SRC010,train
ASB04_000038,1,SRC009,train
ASB04_000039,1,SRC001,test
ASB04_000040,1,SRC010,train
ASB04_000041,1,SRC001,validation
ASB04_000042,1,SRC010,train
ASB04_000043,1,SRC010,test
ASB04_000044,1,SRC001,train
ASB04_000045,1,SRC001,train
ASB04_000046,1,SRC009,train
ASB04_000047,1,SRC009,train
ASB04_000048,1,SRC001,train
ASB04_000049,1,SRC009,train
ASB04_000050,1,SRC001,test
ASB04_000051,1,SRC001,train
ASB04_000052,1,SRC001,train
ASB04_000053,1,SRC001,test
ASB04_000054,1,SRC001,train
ASB04_000055,1,SRC001,train
ASB04_000056,1,SRC010,train
ASB04_000057,1,SRC010,train
ASB04_000058,1,SRC010,train
ASB04_000059,1,SRC001,train
ASB04_000060,1,SRC001,train
ASB04_000061,1,SRC010,train
ASB04_000062,1,SRC010,train
ASB04_000063,1,SRC010,train
ASB04_000064,1,SRC010,train
ASB04_000065,1,SRC010,train
ASB04_000066,1,SRC010,train
ASB04_000067,1,SRC009,test
ASB04_000068,1,SRC010,test
ASB04_000069,1,SRC001,train
ASB04_000070,1,SRC001,train
ASB04_000071,1,SRC001,train
ASB04_000072,1,SRC001,train
ASB04_000073,1,SRC010,validation
ASB04_000074,1,SRC010,train
ASB04_000075,1,SRC001,test
ASB04_000076,1,SRC001,train
ASB04_000077,1,SRC012,train
ASB04_000078,1,SRC001,train
ASB04_000079,1,SRC010,test
ASB04_000080,1,SRC010,train
ASB04_000081,1,SRC013,train
ASB04_000082,1,SRC010,train
ASB04_000083,1,SRC001,train
ASB04_000084,1,SRC009,validation
ASB04_000085,1,SRC001,train
ASB04_000086,1,SRC002,validation
ASB04_000087,1,SRC009,train
ASB04_000088,1,SRC010,train
ASB04_000089,1,SRC010,train
ASB04_000090,1,SRC001,train
ASB04_000091,1,SRC009,train
ASB04_000092,1,SRC010,train
ASB04_000093,1,SRC001,train
ASB04_000094,1,SRC010,train
ASB04_000095,1,SRC001,validation
ASB04_000096,1,SRC001,train
ASB04_000097,1,SRC010,train
ASB04_000098,1,SRC011,test
ASB04_000099,1,SRC010,train
ASB04_000100,1,SRC001,train
ASB04_000101,1,SRC001,train
ASB04_000102,1,SRC010,train
ASB04_000103,1,SRC001,train
ASB04_000104,1,SRC001,train
ASB04_000105,1,SRC009,train
ASB04_000106,1,SRC001,train
ASB04_000107,1,SRC001,train
ASB04_000108,1,SRC001,train
ASB04_000109,1,SRC010,train
ASB04_000110,1,SRC009,train
ASB04_000111,1,SRC001,train
ASB04_000112,1,SRC001,train
ASB04_000113,1,SRC010,validation
ASB04_000114,1,SRC001,train
ASB04_000115,1,SRC001,train
ASB04_000116,1,SRC001,test
ASB04_000117,1,SRC001,train
ASB04_000118,1,SRC010,train
ASB04_000119,1,SRC010,train
ASB04_000120,1,SRC001,train
ASB04_000121,1,SRC010,train
ASB04_000122,1,SRC010,train
ASB04_000123,1,SRC001,train
ASB04_000124,1,SRC010,test
ASB04_000125,1,SRC010,train
ASB04_000126,1,SRC010,train
ASB04_000127,1,SRC001,train
ASB04_000128,1,SRC010,train
ASB04_000129,1,SRC001,train
ASB04_000130,1,SRC001,train
ASB04_000131,1,SRC010,train
ASB04_000132,1,SRC010,train
ASB04_000133,1,SRC009,train
ASB04_000134,1,SRC001,validation
ASB04_000135,1,SRC001,train
ASB04_000136,1,SRC001,train
ASB04_000137,1,SRC010,train
ASB04_000138,1,SRC001,validation
ASB04_000139,1,SRC001,test
ASB04_000140,1,SRC009,validation
ASB04_000141,1,SRC001,train
ASB04_000142,1,SRC010,validation
ASB04_000143,1,SRC001,train
ASB04_000144,1,SRC009,train
ASB04_000145,1,SRC001,train
ASB04_000146,1,SRC009,train
ASB04_000147,1,SRC001,train
ASB04_000148,1,SRC001,validation
ASB04_000149,1,SRC001,test
ASB04_000150,1,SRC001,train
ASB04_000151,1,SRC001,train
