structural_family_id,member_count,malicious_count,benign_count,source_count
FAMILY_0001,1,1,0,1
FAMILY_0002,1,1,0,1
FAMILY_0003,1,1,0,1
FAMILY_0004,1,1,0,1
FAMILY_0005,1,1,0,2
FAMILY_0006,1,1,0,1
FAMILY_0007,1,1,0,1
FAMILY_0008,1,1,0,1
FAMILY_0009,1,1,0,1
FAMILY_0010,3,3,0,2
FAMILY_0011,1,1,0,1
FAMILY_0012,1,1,0,1
FAMILY_0013,1,1,0,1
FAMILY_0014,1,1,0,1
FAMILY_0015,1,1,0,1
FAMILY_0016,1,1,0,1
FAMILY_0017,1,1,0,1
FAMILY_0018,1,1,0,2
FAMILY_0019,1,1,0,1
FAMILY_0020,1,1,0,1
FAMILY_0021,1,1,0,1
FAMILY_0022,1,1,0,1
FAMILY_0023,1,1,0,1
FAMILY_0024,1,1,0,1
FAMILY_0025,1,1,0,1
FAMILY_0026,1,1,0,1
FAMILY_0027,1,1,0,1
FAMILY_0028,1,1,0,1
FAMILY_0029,1,1,0,1
FAMILY_0030,1,1,0,1
FAMILY_0031,1,1,0,1
FAMILY_0032,1,1,0,1
FAMILY_0033,1,1,0,1
FAMILY_0034,1,1,0,1
FAMILY_0035,1,1,0,1
FAMILY_0036,1,1,0,1
FAMILY_0037,1,1,0,1
FAMILY_0038,1,1,0,1
FAMILY_0039,1,1,0,1
FAMILY_0040,1,1,0,1
FAMILY_0041,1,1,0,1
FAMILY_0042,1,1,0,1
FAMILY_0043,1,1,0,1
FAMILY_0044,1,1,0,1
FAMILY_0045,1,1,0,1
FAMILY_0046,1,1,0,1
FAMILY_0047,1,1,0,1
FAMILY_0048,1,1,0,1
FAMILY_0049,1,1,0,1
FAMILY_0050,1,1,0,1
FAMILY_0051,1,1,0,1
FAMILY_0052,1,1,0,1
FAMILY_0053,1,1,0,1
FAMILY_0054,1,1,0,1
FAMILY_0055,1,1,0,1
FAMILY_0056,1,1,0,1
FAMILY_0057,1,1,0,1
FAMILY_0058,1,1,0,1
FAMILY_0059,1,1,0,1
FAMILY_0060,1,1,0,1
FAMILY_0061,1,1,0,1
FAMILY_0062,1,1,0,1
FAMILY_0063,1,1,0,1
FAMILY_0064,1,1,0,1
FAMILY_0065,1,1,0,1
FAMILY_0066,1,1,0,1
FAMILY_0067,1,1,0,1
FAMILY_0068,1,1,0,1
FAMILY_0069,1,1,0,1
FAMILY_0070,1,1,0,1
FAMILY_0071,1,1,0,1
FAMILY_0072,1,1,0,1
FAMILY_0073,1,1,0,1
FAMILY_0074,1,1,0,1
FAMILY_0075,1,1,0,1
FAMILY_0076,1,1,0,1
FAMILY_0077,1,1,0,1
FAMILY_0078,1,1,0,1
FAMILY_0079,1,1,0,1
FAMILY_0080,1,1,0,1
FAMILY_0081,1,1,0,1
FAMILY_0082,1,1,0,1
FAMILY_0083,1,1,0,1
FAMILY_0084,1,1,0,1
FAMILY_0085,1,1,0,1
FAMILY_0086,1,1,0,1
FAMILY_0087,1,1,0,1
FAMILY_0088,1,1,0,1
FAMILY_0089,1,1,0,1
FAMILY_0090,1,1,0,1
FAMILY_0091,1,1,0,1
FAMILY_0092,1,1,0,1
FAMILY_0093,1,1,0,1
FAMILY_0094,1,1,0,1
FAMILY_0095,1,1,0,1
FAMILY_0096,1,1,0,1
FAMILY_0097,1,1,0,1
FAMILY_0098,1,1,0,1
FAMILY_0099,1,1,0,1
FAMILY_0100,1,1,0,1
FAMILY_0101,1,1,0,1
FAMILY_0102,1,1,0,1
FAMILY_0103,1,1,0,1
FAMILY_0104,1,1,0,1
FAMILY_0105,1,1,0,1
FAMILY_0106,1,1,0,1
FAMILY_0107,1,1,0,1
FAMILY_0108,1,1,0,1
FAMILY_0109,1,1,0,1
FAMILY_0110,1,1,0,1
FAMILY_0111,1,1,0,1
FAMILY_0112,1,1,0,1
FAMILY_0113,2,2,0,2
FAMILY_0114,1,1,0,1
FAMILY_0115,1,1,0,1
FAMILY_0116,1,1,0,1
FAMILY_0117,1,1,0,1
FAMILY_0118,2,2,0,2
FAMILY_0119,1,1,0,1
FAMILY_0120,0,0,0,0
FAMILY_0121,1,1,0,1
FAMILY_0122,1,1,0,1
FAMILY_0123,2,2,0,2
FAMILY_0124,1,1,0,1
FAMILY_0125,2,2,0,2
FAMILY_0126,1,1,0,1
FAMILY_0127,1,1,0,1
FAMILY_0128,1,1,0,1
FAMILY_0129,1,1,0,1
FAMILY_0130,1,1,0,1
FAMILY_0131,1,1,0,1
FAMILY_0132,1,1,0,1
FAMILY_0133,1,1,0,1
FAMILY_0134,1,1,0,1
FAMILY_0135,1,1,0,1
FAMILY_0136,1,1,0,1
FAMILY_0137,1,1,0,1
FAMILY_0138,1,1,0,1
FAMILY_0139,1,1,0,1
FAMILY_0140,1,1,0,1
FAMILY_0141,1,1,0,1
FAMILY_0142,1,1,0,1
FAMILY_0143,1,1,0,1
FAMILY_0144,1,1,0,1
FAMILY_0145,1,1,0,1
FAMILY_0146,1,1,0,1
FAMILY_0147,1,1,0,1
FAMILY_0148,1,1,0,1
FAMILY_0149,1,1,0,1
FAMILY_0150,1,1,0,3
FAMILY_0151,1,1,0,1
FAMILY_0152,1,1,0,1
FAMILY_0153,1,1,0,1
FAMILY_0154,1,1,0,1
FAMILY_0155,1,1,0,2
FAMILY_0156,1,1,0,3
FAMILY_0157,1,1,0,1
FAMILY_0158,1,1,0,3
FAMILY_0159,1,1,0,2
FAMILY_0160,1,1,0,1
FAMILY_0161,1,1,0,1
FAMILY_0162,1,1,0,1
FAMILY_0163,1,1,0,2
FAMILY_0164,1,1,0,1
FAMILY_0165,1,1,0,2
FAMILY_0166,5,5,0,4
FAMILY_0167,1,1,0,1
FAMILY_0168,3,3,0,4
FAMILY_0169,1,1,0,1
FAMILY_0170,2,2,0,2
FAMILY_0171,1,1,0,1
FAMILY_0172,1,1,0,1
FAMILY_0173,1,1,0,1
FAMILY_0174,1,1,0,4
FAMILY_0175,1,1,0,1
FAMILY_0176,1,1,0,1
FAMILY_0177,1,1,0,3
FAMILY_0178,0,0,0,0
FAMILY_0179,1,1,0,1
FAMILY_0180,0,0,0,0
FAMILY_0181,1,1,0,2
FAMILY_0182,2,2,0,1
